name,id,description,friends,followers,location,tweet,flag
Arshp dayal,DayalArshp,"Follow me on YouTube 
https://t.co/7H8yL3RMoo",32,14,,Respected PMOIndia As Australian government ban international students We are depressed From last 8 months we,0
I WOKE UP N BIDEN IS PRES,soohoneyz,black lives still matter,106,45,she/her  ♐🌈  sag baby,i thrifted shrek 2 on dvd and the lady gave me it for 1 I WAS MF SOLDDDDDDDD until i opened that shit 5 minutes,0
s🅰️m,BasconcilloSam,y b moody when u can shake ur booty,504,384,Earth-65 🇵🇭,Mano Aloe story depressing af,0
𝓠𝓟𝓚,CessDeguma,aye,168,141,,Im sad and depressed,1
NoobMaster69,edgar011100101,Just the guy who’s gonna change the world 🌎 ... I tweet to make people laugh,250,295,Earth,happy to announce that i am no longer single my depression and i have made it official lt3,0
apachecash,apachecash1970,,1299,140,illinois,Jason07623216 KamalaHarris I dont care who wins I will say this Clinton has been on trial for awhile biden will,0
Jackaxed,Jackaxed,"**COPS ENFORCE AN OPPRESSIVE, MURDEROUS FASCIST REGIME**
just another amateur artist. art acct: @JackaxedArt
19 years old. trans man. he/him.",2034,235,United States,tw pedophilia grooming suicide mention,0
𝐍𝐢𝐤𝐨,lavrys,"Having knowledge but lacking the power to express it clearly is no better than never having any ideas at all.
 ~ Pericles",1582,1234,"Little Mountain, Vancouver",CTVVancouver gmehra1981 AlissaMThibault Its Lockdown Depression not Plandemic Depression,0
Rawr xD,bluehugs69,yeah yeah wtv,620,713,she/her/3abda,women have 32220 beauty requirments but men be suicidal over not being 67,0
Sara,SaraSushant2020,Views are mostly pointless. Retweets are not Endorsements,518,3062,Why?,LiveLawIndia YES CBI pleaseGet to the bottom of this situation how did Mother and son both commit suicide ove,0
jess,jess_corn4,need for validation📈 self respect to acquire it📉,26,20,,the depression room comin together real nicely rn,1
ᴛʜᴇ ʙʟᴇꜱꜱᴇᴅ ᴄᴏʀᴇʏ ᴍɪᴄʜᴀᴇʟ,itscoreyybitch,"Old account (@itscoreybitchhh) suspended - Tweet about Britney Spears, Real Housewives & Boys - DM for alt 😈",136,178,"Winnipeg, Manitoba",This is dumb Were in the middle of a worldwide pandemic Of course people are developing anxiety and depression,1
RATPOP 2.0,RATPOP4,"RATPOP backup account (got restricted so here we are) • he/him but also a hoe • gaga, blackpink, red velvet, taylor, ariana, 2ne1 stan account",96,62,,redlyinghere This house looks depressed tho hifn is a party type of album,0
Vanessa ²⁸ ◟̽◞̽ BLM,1D_Dolantwins18,"Stream: NAUGHTY LIST, LP1, FINE LINE, ICARUS FALLS, HEARTBREAK WEATHER, WALLS",1631,1693,United States,Harrygreeneyesx Sending you a virtual hug and love to you I lost my mom when I was 15 and was at the peak when I,1
Digger,kiwibollox,the early bird catches the worm...but the second mouse gets the cheese,103,60,here,paddymacc1 VirginMediaNews because no one has died on anything other than covid since marchcancer car accidents and even suicide,1
vaynerose ✦,howfervent,"★ volcanic. raging. a mighty wallop of colour and sound +@SCPPHICP0ETS ✿ main: @pressedandroses; art: @artvayne ★ she/her, 19 ✿ disabled polsc/psych major + ° ·",1826,1447,serving the masses ✊🏽,me in the dark depressed and crying,1
Shankar Verma,Shankar80v,,174,46,"Giridih, India",What action is being planned to take on this Suicide note is there and clearly Mentioned Thackeray family and Sh,0
kat ✭,katherinemxrin,🥂🎍🇭🇳,1355,1551,"Houston, TX",its kinda tough when your only parent doesnt understand that depression is real,1
Crazy Studios,DBCr4zy,17 - He/Him - Artist - Fortnite Creative Maps Creator - YT:Crazy Studios - Epic Games SAC Code: crazy-studios - Games developer For @OfficialPiccion,705,1683,New Piccione Family World,Necropolix2 If you wear the skin of your favourite streamer and you start building like him you wont ever be like,0
Taylor,makeupyourworld,“Find something you are passionate about and keep tremendously interested in it.” - Julia Child.   — UCF 💛🤍🖤,1751,1652,United States,my parents are in a violent mood like 93 of the day then my therapist wonders why i stay in my room all day depre,1
Mi Pan,5secwonderboy,"25
171 cm
110 +- kg
Bruh, i got nothing to offer . Enjoy the day my dude",144,17,cyberjaya,suicide is not an answer it should never will be an answer,0
Vine,Vinekoo1,Lightskin that plays fgs and rougelites to an unhealthy degree -alt @vinekool,581,56,Blasted tokyo,Fucking hate that my depression had to hit hardest during schooling Genuinely cant get most shit done because Im,1
Abdulhamied ✨,Abdulhamied_AA,Best Entertainment Reporter of the Year 🏆 @CJA2019 | Journalist📝| Blogger / Mediapreneur \ News Broadcaster \ Columnist @OperaNewsNG \ #Messi / @FcBarcelona,13653,23597,Earth,Its bye bye for this I should commit suicide,1
Neo🔟,hate_chemistry,Messi | Barcelona | Kohli | Account managed by me & my 3 yo nephew | And then there were one,686,1258,Arabian sea,PoloTheCule deepikapadukone On of the biggest one Sells depression like chai at railway station,0
TMP|Creep,tmp_creep,sadly still here Owner of @TeamMurderPanda,221,166,,And do my traditional LULW farming on all the new people so they think Im cooler than the depressed shell of a human I actually am lol,0
Ethereal-introvert,Etherealintrov1,I'm just another voice in the void,91,2,,TheCaptainSauce I have depression anxiety and ptsd so my experience isnt as important as some otherspersona,1
Rixturax Athest,rixturax,LOVER ART/FURRY | Artist Gamer. Engaged| FAV: https://t.co/XAm16L7Cp0,449,123,,StraitsRyan DexertoIntel charlieINTEL He kept on seem it but never reply no more even the next day and after th,1
Rajeev Suri,rsuri54,"“Litigation” ""the most powerful tools we have for claiming our rights and making clear what’s at stake – and the stakes have never been higher."" Tessa Khan",509,758,India,Senior most counsel harishsalvee parachutes into high profile cases from the safe confines of London for what To,0
Cr7_Madrid,Cr7Madr28698023,,29,1,,redmondbowman SenJoeManchin Helped us out of the great depression By every metric he prolonged it,0
Jen,JCope222,Rebuilding a life but Voting Blue straight thru !!!!!! Leader Dogs For the Blind . Life is a gift . DO WHAT IS RIGHT . #BLM#Vote Blue#fucktrump,4101,3769,"Colorado, USA",SerenaShimAward My grandpa was a flying tiger My dad fought in Vietnam I was just hit by a semi truck killing m,1
Specter,SpecterM91,Sometimes I make podcasts and reviews. Sometimes I don't. Mostly I don't.,997,502,,Im drunk and wanna watch End of EVA again for them fat depression vibes but my just went on a rant about how much,1
Epigenetic Whisperer - President Elect Mr Epi,EpiWhisp,This is the 2nd Epigenetic Whisperer account @Epigeneticwhisp has been shadowbanned 4 several days now & am unsure if it will ever be unlocked,508,2337,"Aliso Viejo, CA",The unintended consequence of a rapidly coalescing totalitarian 1 government is a rising likelihood of human ext,0
𝙁-𝙃 | 🄲🄴🄾 🄾🄵 🅃🄷🄴 🄿🅁🄴🅀🅄🄴🄻🅂,FunnerHours,"If you like movies, television, anime, manga, comics, and video games then this is the place for you. Been spelling fun with two N’s since 2018. IG@Funnerhours",93,58,Everywhere,Depressed man fucks his user interface,0
ً,beastdescending,"#EMERCURY: Name a better bot lane duo. You can't. 

Black. Comic. Gamer. INTP-A. He/They #BlackLivesMatter. (i): link",158,193,Blocks reserved for annoyance,well thats depressing,1
Sudha Gupta,SudhaGu82213537,"came to earth from parallel universe on 15th June 
Atheist
I usually perform some random act which is being a human being you should also try it.
it feels good",98,8,,pradip103 My trust with our judiciary system is fading day by day We want ArnabGoswami back We want to see him,1
Qaptain Britain 🏴󠁧󠁢󠁥󠁮󠁧󠁿🇬🇧,feardabearduk,,1791,485,,QuynhMontgomery TheAlexManasseh samanthamarika1 did you not vote for the guy thats going to implement more lockd,0
Jumpsuits plug,NjoguChristine,"I am a child of God,a writer,a mother, a daughter, a sister and and a friend 
https://t.co/X403zSa7tW",2764,1886,"Nairobi, Kenya",If I lived on Mombasa rd Id be permanently depressed Sitting in traffic is really exhausting,1
afterlife of Tømmy Vercett¡,KamakaziiiKei,804 - 777,412,452,kamakaziii777@gmail.com,beefin w depressed ppl be so conflictingtalkin bout just do what you want to me nobody can hurt me worse than i,1
estilo of benin🇳🇬❤️&💡,OSARIEMENESTHE1,VALUE U,742,678,,AyobamiSugar Thats the sign of depression,0
Angel Sanchez,AImightySanchez,EAHS '21📚 Will always love the game #24🏈,722,41,,Lyinginbedmon What they were supposed to say was Fero passed from multiple heart attacks not hiS fAmIlY tOlD uS t,1
Eco Fashion by BG 👠,EcoFashionByBG,"Eco-Friendly Fashion Designer 👗, Proudly Canadian 🇨🇦",2451,1607,Canada,ShawnPetriw DesmoulinsMarat karenritchey yulnative They are classifying it as anxiety and depression Newsflas,1
Jesus Christ 2020 #anti-christaphobia #repent,Ibenchaux,"Jesus is the way the truth and the life!
Uncomfortable discussions are more effective than false comfort.
No political affiliation.. only JESUS CHRIST",5,12,,highlordsix9 DianaHollins BBCLondonNews whatever you want to define it as animals dont have it why did we evo,0
Telangana Today,TelanganaToday,For latest news from #Telangana and #Hyderabad in real time. Telangana's True Newspaper.,9,169583,"Hyderabad, Telangana",Depressed over TRS defeat party worker ends life in Dubbak Constituency,1
BACHHU BHUTE,BachhuBhute,,66,3,,winaywinay OpIndiacom Difference direct and indirect involvement in suicide case,1
Mat Remillard,rm_remillard,Checking in with Cowards,2100,561,,realjuliasong Good job She was reported for Suicide posts,0
Jma,J_Mata6,,715,1398,"San Antonio, TX",Your love is suicidal,0
BrainEnergyMetabolism,BrainMetabolism,Neurochemist interested in all things neuro-metabolic.,111,58,,Effect of local buffering and gap junctions on K waves in spreading depression Main impact is on speed of spread,0
"𝚍𝚒𝚊𝚕𝚢𝚜𝚒𝚜 𝚍𝚊𝚍𝚍𝚢, 𝚌.𝚛.𝚘. ☭",mbdj__,𝚌𝚘𝚘𝚔𝚒𝚗𝚐 • 𝚋𝚕𝚊𝚌𝚔 𝚠𝚘𝚖𝚎𝚗 • 𝚖𝚎𝚖𝚎𝚜 • #𝙲𝙾𝚈𝚂,383,642,"Clarendon, Jamaica",Using flirting and my sexuality as a crutch because Im depressed and feel worthless,1
bigstew330,bigstew330,Akron🤧 Athlete💪🏾 I’m next‼️,58,11,,I be depressed and horny,1
Andrea Robinson,andrea30656,"Army vet, paralegal, three sons, three grandchildren, Realtor, actress/model, writer, occasional zombie. ***RETWEET is not an endorsement.***",5854,7147,"Atlanta, GA",BranchTalley My grandmother raised 5 kids often without him moving every year or 2 They were both children of t,0
Dani🕸,_daniemilia,,438,636,Tex-ass,Ive never been actually diagnosed with depression because Ive never ever actually went to talk to a professional,1
AustinJeaux,shortdawg96,*NEW TWEETER* @SLACONSTRUCTION AND @STSTINTANDDETAILS 👻 https://t.co/1Jb9PxHrCq,743,137,"Baton Rouge, LA",I know at times I can be very reckless and displeasing on here to some people but real talk if youre ever having,1
castanedabong,Castanedabong_,“I’m just a bunny” - David Castaneda ⠀⠀⠀⠀⠀⠀⠀⠀⠀ “I’m just a simp for David Castaneda” - Me,92,53,,jfkssimp Hes tolerable in season 2 I stopped hating him once I realized he wasnt actually annoying hes just,0
jazzy,j_pyt_x,bratty sober living cry baby,518,47,"Colorado, USA",Maybe its my depression making me feel unappreciated and shitty but why do I do anything for people Whyyyyyyy do,1
Mr gallant,coby_Ovie,"Media Rep •@44DBcollective. Yh I also DJ, get me lit .Tech boy ,web developer and analyst",878,1020,,sanjom Thats why I didnt want to involve before depression will swallow me for the rest of the week,1
Padrino,Spencer_O_,High functioning dipsomaniac 🥴,1231,1401,Gold Coast ,Dude wtf This thread is funny and depressing,0
Varun Garg 🇮🇳,IamV_Garg,"CA, Animal Lover, 
Proud INDIAN, Sports Freak,
ANTI-45, 007 fan

https://t.co/GWtLC4dNRP",4230,4277,INDIA 🇮🇳,nitesharora84 Theres a diff Suicide note had Arnabs name Then why did the then BJP ruled maha Govt close the f,0
Dan.P💃🏻💃🏻,Danielpf68,,155,33,,3 Years difference Still depressed who wouldve thought,1
Tyler Ericson,tyleremusic,They/Them • Nerd • link to a safe space with good vibes below • BLM❤️🧡💛💚💙💜🖤🤍🤎💟,170,27,"Houston, TX",My brother and I are decorating the house early for my mom and yall maybe Im just that depressed but Im getting,1
Thomas Geeverghese,advptg,Advocate @ Kerala High Court / Blogger / Movie-buff / Tech Geek / Born Critic / Ideologically Congress /  Casually Serious !!,432,464,Ernakulam / Perumbavoor,Well his tabloid news can drive people to commit suicideArnabGoswami,1
Satish,satishpai,"Sanatani hence Liberal, Nationalist, believe on equal opportunity, modern and respects traditions",76,31,,ErAnkit14 AjaySri65142616 pbhushan1 so tomorrow in the amazon vs future retail vs reliance if one of the persons,0
Jha Sumit,JhaSumit1212,Photon in a double Slit..🙃,16,0,"Surat, India",barandbench Salve CJM said relation of the accused needs to be established with suicide and until then police cus,1
bsuxuejdiekwkowixene,NaniiBanii04,"빨리 돌아와, 건강하세요. 기다리고 있을게요. 🍞❤",1251,443,Second star to the right,the color the lights the man the everything I just really love how I took this oneIm really just depressing,1
★SAPPY★ (Corruption Arc),SappySappster,"Just a friendly enigma here : ) • I'm an artist who draws occasionally • Art-only alt: @SappySinister

I'm a sfw account, but I may like/rt some saucy stuff ^^!",1154,732,,Oh oh what if I made this one super depressed right And gave her an inferiority complex that should work,0
natalie ꨄ,saikisl0ver,i’m a simp for pink haired people || 17,260,249,she/her,life it honestly meaninglessand no im not depressed its just the facts,0
Michael Avery,mrmavery,"I listen to podcasts 📻, watch sports 🥍 and drink way too much coffee ☕️    
👉🏻 Proud 🏳️‍🌈",458,259,"Burbank, CA (Circa Texas)",Guy fails terribly on his first job as a hit man falls in love with a girl on a production set filming midgets and,0
Comp_Sperm,Haaww_Hayeee,"if you stare into Abyss long enough, the Abyss stares back at you",73,39,"Milwaukee, WI",curious TheDumbMedico I apologise if i came about as confrontational My last tweet was actually a question from,1
Kobe System,PaulyVisual,Ambition Over Adversity. USF Alum. ΖΞ. Instagram: @Paulsosway,1545,473,"Tampa, FL",BillCool jonlovett drvox Losing the war and their leader committing suicide without delivering anything but deat,0
‎‏ً,cominqofage,livin’ for the hope of it all | fan account,282,3458,she/her 23,the trauma that el endured that summer with losing her dad her friends and mike and her HOME i just know poor girl,1
Smruti Pradhan🇮🇳,smrutipradhan93,"Facts dont care about your feelings,Gang⚡️~ Ben Shapiro",97,38,,LiveLawIndia Ya the lady woke up after 2 years that her husband committed suicide 2 yrs backwth is this tomfoolery,1
Minus Nu Phi,Smooth_LaFlare,"Trash on Twitter, King in real life. Small Fish in the Market 📈, CCU Alumnus (Heat Fan)",2893,2914,,pitts I understand how it works but I also understand that it could lead to a baby being harmed as well and bla,0
Rixturax Athest,rixturax,LOVER ART/FURRY | Artist Gamer. Engaged| FAV: https://t.co/XAm16L7Cp0,449,123,,StraitsRyan DexertoIntel charlieINTEL I am not being an asshole I am being honest I had lost people too they,1
aunty 🦋,TajiTajh,🇺🇸🇯🇲| ig : taji.xo | 💗💜💙,289,458,jersey bitch,Forreal letter what i did write your name gangbangin everything sessions Malcolm man now no depression,0
Purple😶,RedWithSomeBlue,Chocolate milk is the best drink. Hamburgers are the best food. Video games and anime are the best entertainment. Egg gang @Yoshisaur9.,153,66,,CGOrangeeng Some recognition of the depressed rock is good recognition,0
IASP,IASPinfo,International Association for Suicide Prevention (IASP) promotes suicide prevention worldwide. This account is run by the IASP Early Career Group (ECG).,626,19395,Worldwide,It is welldocumented that the way media report on suicide can impact risk of suicide amp increased contagion Expert,0
chemical sister 🌤 (wallis klebold),enanti0m3rz,"to be one, you must be crazy. to be crazy, you must be everyone. I do not ask the wounded man how he feels, I myself become the wounded man.
Sec of Agriculture!",73,132,trance logic▪stop making sense,or I guess since TDS is supposed to be a progression deeper ampdeeper into a mans depression you could use the songs,0
Mebbie,Mebbie6,"I like to draw, but I'm not a professional :) 
(I still don't understand why they follow me)",14,64,I am from... Wiuuu,TenFlea SkylaSanDoodles Pony plays to stop the depression please dont screw it up,0
🍒🎀spooky nunu🎀 🍒,nunucrossing,"25// Arab // 99% AC content and 1% garbage // 

Babylon Island - progress at 57.23% 🤗❤️",1606,2225,,I was at a really really low point mentally a few months ago I lost track how long Ive been depressed but I thin,1
Kiddy,Kiddy56560045,do,5,0,"Bengaluru South, India",How to commit suicide,1
Kelly K,FAKEKELLYK,,321,362,The Valley,Depressed again Tiktoking again,1
Monkey Head,monkeyhead78,Enjoys Spending my Weekend Utepils. #LUFC #Maidstone #Dubai #Running #Photography #Astronomy #Comics #Collectibles #LeedsCarajo #MarathonRunner,4623,2541,United Arab Emirates,Suicide figures are up 200 since lockdown Could 2 friends please copy and repost this tweet Were trying to dem,1
adri/an🌻,adrilabrujita,piel el color de miel y tierra,964,292,they/she,avtoine its so depressing im legit getting sad,1
yourlocaldruggie,jugheadoncrack,,82,10,,Celestialvcy You leading someone into suicide is funny,1
LaZzarr...,DaDdY33294708,"Materialistic & Practical, NO time for Shitty-Witty Love stories, Money & Time matters here, Don't waste my time if you can't give what i need...😊",244,36,Somewhere in this Globe...,littlepuppetpup Againnnn ur suicidal thoughts,1
ᴋᴜsʜ ᴋɪᴛᴛʏ🧵 👁,ecalnothgierc04,𖦹 ᴋɪʟʟ 'ᴇᴍ ᴡɪᴛʜ ᴋɪɴᴅɴᴇss ♡ ᴅɪʀᴛʏʙᴀssғᴀᴄᴇ㋛ 𝕙𝕖𝕒𝕕𝕓𝕒𝕟𝕘𝕖𝕣 ♥ 𝕡𝕝𝕦𝕣 𖦹,1147,1248,raving,people who dont understand depression why dont you smile,1
Mike Mariano,mikemariano,I love you.,185,141,SB,Lizs observation that two phone calls from Obama permanently ended any left movement in the Democratic party is,0
Local Vampire Says... (vey/vem) 🏳️‍🌈,RosaSanguinem,"Roz • RIP: 1991 • Queer Femme • Hopeless Toreador 🌹 • Shameless Aesthete • Eclectic Pagan • Zaftig Hedonist • 18+ 

My Loves: @canaanimal @demonsfae",799,898,United States,We upped my dose in october and my pain and depression are both doing way betterwhich is kind of a miracle for me,0
rei ⁷ 🍂,qtatoe_chn,#BTS is my serotonin 🔆.                FAN acct - multi fan | spam|.       i’m your friendly smol neighbor ´･ᴗ･`,289,206,,im still an academic awardee waaah after depressing and losing focus last school year crying and pushing myself,1
Summerunhappy,Summerunhappy,"emotions: Happiness,Sadness,Anger,Depression and Me 🐱🐰🐺💀🐻",11,0,"Long Beach, CA",I love sewing my rip stuffed animals depression emotions sewing,1
K 🌈🐣,atablefor_one,"22. she/her 
I'm a leftist because everyone leaves me, bye 
(yes, I might have liked your cat photos)",568,136,,cant believe i overcame my fear of dark because of depression which made me feel safe in such spaces,0
Nick 🧢,ItsNicksterr,have u heard about pluto :(  | 21 | https://t.co/Rh7Ap2NJhz | @teamlunaticgg,219,312,"Austin, TX",most days i put in like 1012hrs into content creation if i include streaming then its like 1416 just to see a,0
irina,private_sect,GET MY GUN WE BOUT TO ROB A WELLS FARGO,31,30,@threat_unit @miyohji,thats what depression feels like for me its like the weather gets colder i wander onto a frozen pond and it col,1
Anna Lingus,Scabloonshki,,85,26,"Ottawa, Ontario",YUMECORPSE And Im brutally depressed rn,1
sigh,notdor33n,he/him // currently playing hopscotch in a busy intersection,68,51,pain ,and like ive struggled w depression amp anxiety amp stuff my whole life but its never gotten this bad to the point wh,1
